,No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,date
6881,6882,2013,12,12,17,17.0,29.0,5.0,22.0,5753.602664260641,40.0,-2.5,1020.1,-26.4,0.0,NE,1.4,Dongsi,2013-12-12 17:00:00
6882,6883,2013,12,12,18,8.0,11.0,4.0,29.0,5691.405533400227,29.0,-3.7,1020.9,-25.3,0.0,E,1.1,Dongsi,2013-12-12 18:00:00
6883,6884,2013,12,12,19,8.0,10.0,2.0,21.0,5629.525027018631,39.0,-3.7,1021.0,-25.3,0.0,NNE,1.2,Dongsi,2013-12-12 19:00:00
6884,6885,2013,12,12,20,9.0,14.0,4.0,38.0,5567.961145115851,18.0,-3.8,1021.1,-24.7,0.0,E,1.1,Dongsi,2013-12-12 20:00:00
6885,6886,2013,12,12,21,8.0,9.0,7.0,30.0,5506.713887691887,28.0,-5.4,1021.2,-22.8,0.0,NE,1.4,Dongsi,2013-12-12 21:00:00
6886,6887,2013,12,12,22,16.0,14.0,11.0,41.0,5445.78325474674,15.0,-5.4,1021.4,-22.4,0.0,ESE,1.7,Dongsi,2013-12-12 22:00:00
6887,6888,2013,12,12,23,18.0,18.0,12.0,49.0,5385.1692462804085,8.0,-6.7,1021.5,-22.6,0.0,NNW,0.9,Dongsi,2013-12-12 23:00:00
6888,6889,2013,12,13,0,15.0,25.0,14.0,42.0,5324.871862292892,13.0,-7.4,1021.7,-21.3,0.0,S,0.6,Dongsi,2013-12-13 00:00:00
6889,6890,2013,12,13,1,38.0,58.0,25.0,43.0,5264.891102784193,5.0,-4.1,1021.7,-20.8,0.0,SW,2.8,Dongsi,2013-12-13 01:00:00
6890,6891,2013,12,13,2,45.0,59.0,29.0,42.0,5205.22696775431,4.0,-3.5,1022.2,-21.7,0.0,WSW,1.9,Dongsi,2013-12-13 02:00:00
6891,6892,2013,12,13,3,42.0,50.0,26.0,40.0,5145.879457203245,4.0,-3.2,1022.0,-22.0,0.0,NW,1.3,Dongsi,2013-12-13 03:00:00
6892,6893,2013,12,13,4,37.0,47.0,24.0,40.0,5086.848571130994,13.0,-4.8,1022.3,-20.6,0.0,NNE,1.1,Dongsi,2013-12-13 04:00:00
6893,6894,2013,12,13,5,38.0,48.0,26.0,38.0,5028.13430953756,10.0,-7.5,1022.8,-19.4,0.0,ENE,0.9,Dongsi,2013-12-13 05:00:00
6894,6895,2013,12,13,6,48.0,61.0,26.0,40.0,4969.7366724229405,7.0,-8.5,1023.2,-17.6,0.0,E,0.9,Dongsi,2013-12-13 06:00:00
6895,6896,2013,12,13,7,44.0,52.0,25.0,40.0,4911.655659787138,7.0,-8.2,1024.0,-16.8,0.0,ENE,0.4,Dongsi,2013-12-13 07:00:00
6896,6897,2013,12,13,8,25.0,53.0,25.0,46.0,4853.891271630153,7.0,-4.0,1024.1,-17.2,0.0,ESE,1.2,Dongsi,2013-12-13 08:00:00
6897,6898,2013,12,13,9,34.0,30.0,24.0,45.0,4796.443507951982,12.0,-1.1,1024.1,-21.9,0.0,E,2.0,Dongsi,2013-12-13 09:00:00
6898,6899,2013,12,13,10,35.0,34.0,24.0,48.0,4739.3123687526295,16.0,0.7,1023.2,-22.3,0.0,NNW,0.7,Dongsi,2013-12-13 10:00:00
6899,6900,2013,12,13,11,54.0,67.0,31.0,56.0,4682.497854032092,15.0,1.4,1022.0,-21.8,0.0,SSW,1.9,Dongsi,2013-12-13 11:00:00
6900,6901,2013,12,13,12,78.0,82.0,37.0,49.0,4625.99996379037,24.0,2.1,1020.8,-21.9,0.0,SSW,2.2,Dongsi,2013-12-13 12:00:00
6901,6902,2013,12,13,13,57.0,61.0,26.0,33.0,4569.818698027465,39.0,2.9,1019.7,-21.3,0.0,SSW,2.4,Dongsi,2013-12-13 13:00:00
6902,6903,2013,12,13,14,55.0,55.0,23.0,28.0,4513.954056743376,46.0,2.8,1019.4,-21.4,0.0,SW,1.8,Dongsi,2013-12-13 14:00:00
6903,6904,2013,12,13,15,47.0,68.0,31.0,35.0,4458.406039938104,41.0,2.3,1019.4,-19.7,0.0,SSW,2.7,Dongsi,2013-12-13 15:00:00
6904,6905,2013,12,13,16,77.0,90.0,43.0,46.0,4403.174647611647,33.0,0.9,1019.6,-19.0,0.0,SSW,2.1,Dongsi,2013-12-13 16:00:00
6905,6906,2013,12,13,17,83.0,101.0,41.0,56.0,4348.259879764007,21.0,-1.2,1020.1,-17.4,0.0,ESE,0.7,Dongsi,2013-12-13 17:00:00
6906,6907,2013,12,13,18,108.0,136.0,50.0,68.0,4293.661736395182,13.0,-2.7,1020.4,-16.1,0.0,NE,1.1,Dongsi,2013-12-13 18:00:00
6907,6908,2013,12,13,19,122.0,140.0,54.0,69.0,4239.380217505175,11.0,-1.5,1021.2,-19.5,0.0,NNE,1.2,Dongsi,2013-12-13 19:00:00
6908,6909,2013,12,13,20,140.0,140.0,53.0,71.0,4185.415323093982,10.0,-3.8,1021.3,-18.9,0.0,SSW,0.6,Dongsi,2013-12-13 20:00:00
6909,6910,2013,12,13,21,73.0,60.0,45.0,67.0,4131.767053161607,7.0,-5.0,1021.5,-17.2,0.0,ESE,0.7,Dongsi,2013-12-13 21:00:00
6910,6911,2013,12,13,22,59.0,56.0,40.0,64.0,4078.4354077080475,7.0,-4.5,1022.1,-18.0,0.0,NNE,1.6,Dongsi,2013-12-13 22:00:00
6911,6912,2013,12,13,23,58.0,57.0,36.0,62.0,4025.4203867333035,7.0,-5.8,1022.2,-17.6,0.0,E,1.2,Dongsi,2013-12-13 23:00:00
6912,6913,2013,12,14,0,44.0,44.0,46.0,64.0,3972.7219902373763,6.8544,-6.2,1022.2,-17.3,0.0,ENE,0.8,Dongsi,2013-12-14 00:00:00
6913,6914,2013,12,14,1,47.0,56.0,45.0,64.0,3920.340218220265,7.0,-7.2,1022.5,-17.1,0.0,NNE,1.0,Dongsi,2013-12-14 01:00:00
6914,6915,2013,12,14,2,95.0,123.0,71.0,74.0,3868.27507068197,11.0,-4.6,1023.0,-19.2,0.0,ENE,0.9,Dongsi,2013-12-14 02:00:00
6915,6916,2013,12,14,3,80.0,77.0,48.0,64.0,3816.5265476224913,7.0,-4.7,1023.1,-18.9,0.0,NE,1.3,Dongsi,2013-12-14 03:00:00
6916,6917,2013,12,14,4,39.0,30.0,22.0,55.0,3765.094649041829,5.0,-5.2,1023.3,-19.4,0.0,NNE,1.0,Dongsi,2013-12-14 04:00:00
6917,6918,2013,12,14,5,22.0,20.0,19.0,55.0,3713.9793749399823,5.0,-5.2,1024.3,-19.7,0.0,NNE,1.2,Dongsi,2013-12-14 05:00:00
6918,6919,2013,12,14,6,24.0,23.0,17.0,52.0,3663.1807253169522,5.0,-6.0,1025.2,-19.7,0.0,NNE,1.4,Dongsi,2013-12-14 06:00:00
6919,6920,2013,12,14,7,21.0,10.0,23.0,53.0,3612.698700172738,7.0,-4.3,1025.6,-21.0,0.0,N,2.2,Dongsi,2013-12-14 07:00:00
6920,6921,2013,12,14,8,17.0,18.0,20.0,56.0,3562.5332995073395,7.0,-2.7,1026.2,-20.1,0.0,ENE,1.1,Dongsi,2013-12-14 08:00:00
6921,6922,2013,12,14,9,17.0,17.0,15.0,48.0,3512.6845233207587,15.0,-0.4,1026.5,-22.5,0.0,NE,2.7,Dongsi,2013-12-14 09:00:00
6922,6923,2013,12,14,10,14.0,14.0,13.0,34.0,3463.152371612993,32.0,1.2,1025.8,-23.4,0.0,NNE,1.4,Dongsi,2013-12-14 10:00:00
6923,6924,2013,12,14,11,16.0,18.0,16.0,29.0,3413.936844384044,42.0,2.3,1024.9,-22.5,0.0,ENE,3.3,Dongsi,2013-12-14 11:00:00
6924,6925,2013,12,14,12,20.0,29.0,17.0,27.0,3365.03794163391,44.5536,3.4,1023.7,-21.7,0.0,NW,2.0,Dongsi,2013-12-14 12:00:00
6925,6926,2013,12,14,13,15.0,19.0,15.0,24.0,3316.4556633625934,46.0,5.3,1023.7,-21.9,0.0,WSW,1.4,Dongsi,2013-12-14 13:00:00
6926,6927,2013,12,14,14,18.0,18.0,14.0,19.0,3268.1900095700926,49.0,5.2,1023.9,-21.1,0.0,W,1.0,Dongsi,2013-12-14 14:00:00
6927,6928,2013,12,14,15,23.0,29.0,15.0,28.0,3220.2409802564075,38.0,5.1,1024.2,-20.3,0.0,ESE,1.0,Dongsi,2013-12-14 15:00:00
6928,6929,2013,12,14,16,54.0,99.0,38.0,62.0,3172.608575421539,20.7774,2.8,1024.6,-15.3,0.0,SW,1.1,Dongsi,2013-12-14 16:00:00
6929,6930,2013,12,14,17,119.0,145.0,71.0,77.0,3125.2927950654866,10.0,0.0,1025.0,-15.2,0.0,WSW,0.9,Dongsi,2013-12-14 17:00:00
6930,6931,2013,12,14,18,117.0,138.0,58.0,76.0,3078.293639188251,8.0,-1.0,1026.0,-14.6,0.0,WNW,0.8,Dongsi,2013-12-14 18:00:00
6931,6932,2013,12,14,19,129.0,133.0,60.0,74.0,3031.6111077898304,8.0,0.6,1026.4,-21.7,0.0,NE,0.9,Dongsi,2013-12-14 19:00:00
6932,6933,2013,12,14,20,122.0,128.0,54.0,74.0,2985.2452008702267,8.0,-2.6,1026.7,-20.0,0.0,NNE,0.0,Dongsi,2013-12-14 20:00:00
6933,6934,2013,12,14,21,99.0,67.0,45.0,72.0,2939.1959184294387,9.0,-3.7,1027.3,-19.2,0.0,NW,0.6,Dongsi,2013-12-14 21:00:00
6934,6935,2013,12,14,22,40.0,36.0,33.0,64.0,2893.463260467468,8.1396,-3.8,1028.1,-17.8,0.0,SE,0.5,Dongsi,2013-12-14 22:00:00
6935,6936,2013,12,14,23,50.0,50.0,42.0,74.0,2848.0472269843117,8.0,-4.4,1028.2,-18.7,0.0,S,0.8,Dongsi,2013-12-14 23:00:00
6936,6937,2013,12,15,0,49.0,40.0,37.0,71.0,2802.9478179799726,7.0,-2.9,1028.6,-18.9,0.0,E,0.8,Dongsi,2013-12-15 00:00:00
6937,6938,2013,12,15,1,36.0,34.0,25.0,64.0,2758.1650334544497,6.0,-4.8,1028.6,-18.3,0.0,NE,0.7,Dongsi,2013-12-15 01:00:00
6938,6939,2013,12,15,2,32.0,29.0,23.0,59.0,2713.6988734077427,6.0,-5.5,1029.1,-17.9,0.0,NNW,1.0,Dongsi,2013-12-15 02:00:00
6939,6940,2013,12,15,3,51.0,45.0,36.0,63.0,2669.5493378398523,7.0,-2.5,1028.8,-20.4,0.0,NNE,1.5,Dongsi,2013-12-15 03:00:00
6940,6941,2013,12,15,4,33.0,17.0,18.0,50.0,2625.7164267507774,10.0,-3.1,1028.9,-20.9,0.0,NNE,1.0,Dongsi,2013-12-15 04:00:00
6941,6942,2013,12,15,5,13.0,8.0,14.0,39.0,2582.200140140519,19.0,-2.7,1028.9,-21.0,0.0,ENE,1.4,Dongsi,2013-12-15 05:00:00
6942,6943,2013,12,15,6,14.0,6.0,14.0,40.0,2539.000478009077,21.0,-3.5,1029.3,-21.2,0.0,NNW,1.4,Dongsi,2013-12-15 06:00:00
6943,6944,2013,12,15,7,6.0,6.0,15.0,42.0,2496.117440356451,19.0,-3.8,1030.3,-20.5,0.0,N,0.8,Dongsi,2013-12-15 07:00:00
6944,6945,2013,12,15,8,16.0,18.0,17.0,53.0,2453.551027182641,8.9964,-0.9,1031.5,-20.5,0.0,N,1.9,Dongsi,2013-12-15 08:00:00
6945,6946,2013,12,15,9,12.0,14.0,16.0,43.0,2411.3012384876474,19.0,0.0,1032.1,-19.8,0.0,N,1.4,Dongsi,2013-12-15 09:00:00
6946,6947,2013,12,15,10,16.0,18.0,17.0,40.0,2369.3680742714705,26.0,1.5,1031.1,-20.3,0.0,NE,1.7,Dongsi,2013-12-15 10:00:00
6947,6948,2013,12,15,11,17.0,19.0,18.0,41.0,2327.751534534109,28.0,2.8,1029.7,-19.9,0.0,E,1.6,Dongsi,2013-12-15 11:00:00
6948,6949,2013,12,15,12,13.0,19.0,15.0,36.0,2286.4516192755636,35.0,4.0,1028.6,-20.4,0.0,NNE,1.0,Dongsi,2013-12-15 12:00:00
6949,6950,2013,12,15,13,26.0,26.0,19.0,34.0,2245.4683284958346,36.8424,5.0,1027.9,-20.4,0.0,NE,0.8,Dongsi,2013-12-15 13:00:00
6950,6951,2013,12,15,14,38.0,36.0,20.0,39.0,2204.8016621949223,34.0,4.5,1027.7,-20.0,0.0,NE,1.0,Dongsi,2013-12-15 14:00:00
6951,6952,2013,12,15,15,38.0,37.0,17.0,42.0,2164.4516203728253,30.0,4.1,1027.8,-19.5,0.0,SE,1.5,Dongsi,2013-12-15 15:00:00
6952,6953,2013,12,15,16,41.0,42.0,17.0,54.0,2124.4182030295447,18.6354,3.1,1028.9,-19.0,0.0,SSE,1.3,Dongsi,2013-12-15 16:00:00
6953,6954,2013,12,15,17,45.0,60.0,23.0,62.0,2084.7014101650802,10.0,2.4,1029.4,-18.3,0.0,SE,1.4,Dongsi,2013-12-15 17:00:00
6954,6955,2013,12,15,18,56.0,67.0,28.0,64.0,2045.301241779432,5.9976,-0.4,1029.5,-17.6,0.0,SSW,0.5,Dongsi,2013-12-15 18:00:00
6955,6956,2013,12,15,19,72.0,84.0,33.0,66.0,2006.2176978726002,7.0,-1.6,1029.3,-16.2,0.0,SSE,0.0,Dongsi,2013-12-15 19:00:00
6956,6957,2013,12,15,20,84.0,81.0,29.0,65.0,1967.450778444584,7.0,-3.1,1029.9,-16.1,0.0,ESE,0.6,Dongsi,2013-12-15 20:00:00
6957,6958,2013,12,15,21,83.0,96.0,29.0,65.0,1929.000483495385,7.0,-3.7,1029.6,-14.8,0.0,ENE,0.8,Dongsi,2013-12-15 21:00:00
6958,6959,2013,12,15,22,101.0,94.0,34.0,61.0,1890.8668130250016,7.0,-4.1,1029.8,-13.8,0.0,NE,1.4,Dongsi,2013-12-15 22:00:00
6959,6960,2013,12,15,23,84.0,83.0,35.0,61.0,1853.049767033434,6.0,-3.6,1029.8,-13.8,0.0,ENE,1.0,Dongsi,2013-12-15 23:00:00
6960,6961,2013,12,16,0,115.0,137.0,62.0,84.0,1815.5493455206827,11.9952,-4.1,1029.2,-14.3,0.0,NE,1.2,Dongsi,2013-12-16 00:00:00
6961,6962,2013,12,16,1,173.0,199.0,75.0,97.0,1778.3655484867477,14.0,-2.9,1029.2,-15.9,0.0,NE,1.0,Dongsi,2013-12-16 01:00:00
6962,6963,2013,12,16,2,244.0,257.0,100.0,110.0,1741.4983759316287,11.0,-4.7,1028.8,-14.6,0.0,ENE,0.7,Dongsi,2013-12-16 02:00:00
6963,6964,2013,12,16,3,260.0,253.0,102.0,109.0,1704.9478278553265,12.0,-5.6,1028.1,-14.6,0.0,NNE,0.9,Dongsi,2013-12-16 03:00:00
6964,6965,2013,12,16,4,189.0,165.0,84.0,109.0,1668.7139042578399,17.5644,-6.2,1027.6,-14.2,0.0,NNE,1.0,Dongsi,2013-12-16 04:00:00
6965,6966,2013,12,16,5,94.0,69.0,54.0,58.0,1632.7966051391697,12.0,-5.8,1027.3,-14.8,0.0,NE,0.6,Dongsi,2013-12-16 05:00:00
6966,6967,2013,12,16,6,58.0,48.0,52.0,56.0,1597.1959304993156,10.4958,-6.2,1027.4,-14.5,0.0,NE,0.9,Dongsi,2013-12-16 06:00:00
6967,6968,2013,12,16,7,39.0,36.0,40.0,54.0,1561.9118803382776,10.0,-5.0,1028.0,-15.4,0.0,ENE,0.7,Dongsi,2013-12-16 07:00:00
6968,6969,2013,12,16,8,50.0,46.0,45.0,52.0,1526.9444546560558,10.71,-3.8,1028.2,-15.5,0.0,ENE,0.9,Dongsi,2013-12-16 08:00:00
6969,6970,2013,12,16,9,52.0,61.0,43.0,54.0,1492.29365345265,12.0,-2.6,1028.5,-14.7,0.0,NE,1.9,Dongsi,2013-12-16 09:00:00
6970,6971,2013,12,16,10,53.0,62.0,43.0,55.0,1457.9594767280605,12.4236,-1.4,1027.8,-14.6,0.0,ENE,1.4,Dongsi,2013-12-16 10:00:00
6971,6972,2013,12,16,11,44.62499408270599,158.0,50.0,60.0,1423.9419244822875,14.7798,-0.2,1026.6,-15.3,0.0,ENE,2.0,Dongsi,2013-12-16 11:00:00
6972,6973,2013,12,16,12,57.0,87.0,52.0,63.0,1390.24099671533,15.6366,1.0,1025.7,-15.1,0.0,E,1.4,Dongsi,2013-12-16 12:00:00
6973,6974,2013,12,16,13,109.0,103.0,56.0,67.0,1356.8566934271894,16.0,1.8,1025.2,-14.8,0.0,E,0.9,Dongsi,2013-12-16 13:00:00
6974,6975,2013,12,16,14,129.0,121.0,64.0,76.0,1323.7890146178647,15.8508,1.9,1024.9,-14.7,0.0,E,1.1,Dongsi,2013-12-16 14:00:00
6975,6976,2013,12,16,15,144.0,136.0,68.0,83.0,1291.037960287356,16.0,1.8,1024.8,-14.4,0.0,NE,1.1,Dongsi,2013-12-16 15:00:00
6976,6977,2013,12,16,16,147.0,136.0,66.0,84.0,1258.6035304356633,14.3514,0.5,1025.1,-14.3,0.0,ENE,0.9,Dongsi,2013-12-16 16:00:00
6977,6978,2013,12,16,17,162.0,177.0,79.0,98.0,1226.4857250627872,15.0,-1.0,1025.5,-13.9,0.0,NE,0.9,Dongsi,2013-12-16 17:00:00
6978,6979,2013,12,16,18,188.0,205.0,88.0,99.0,1194.6845441687271,15.8508,-1.0,1026.1,-13.2,0.0,ENE,0.6,Dongsi,2013-12-16 18:00:00
6979,6980,2013,12,16,19,184.0,185.0,82.0,93.0,1163.1999877534831,15.4224,-0.5,1026.1,-12.5,0.0,NE,0.9,Dongsi,2013-12-16 19:00:00
6980,6981,2013,12,16,20,194.0,183.0,80.0,94.0,1132.0320558170554,15.4224,-0.4,1026.6,-12.1,0.0,ENE,0.8,Dongsi,2013-12-16 20:00:00
6981,6982,2013,12,16,21,209.0,197.0,85.0,96.0,1101.180748359444,15.4224,0.1,1026.8,-11.9,0.0,E,0.9,Dongsi,2013-12-16 21:00:00
6982,6983,2013,12,16,22,227.0,221.0,105.0,102.0,1070.6460653806485,17.0,0.1,1027.1,-12.6,0.0,ENE,0.5,Dongsi,2013-12-16 22:00:00
6983,6984,2013,12,16,23,256.0,253.0,121.0,97.0,1040.4280068806693,17.9928,-0.2,1027.2,-12.8,0.0,NE,1.0,Dongsi,2013-12-16 23:00:00
6984,6985,2013,12,17,0,252.0,242.0,123.0,94.0,1010.526572859506,16.9218,-1.0,1027.1,-12.3,0.0,ENE,1.3,Dongsi,2013-12-17 00:00:00
6985,6986,2013,12,17,1,253.0,236.0,131.0,98.0,980.9417633171593,17.0,-0.3,1027.5,-12.6,0.0,E,1.4,Dongsi,2013-12-17 01:00:00
6986,6987,2013,12,17,2,247.0,233.0,120.2376,100.1864,951.6735782536282,17.7786,-0.3,1027.6,-12.9,0.0,NE,1.0,Dongsi,2013-12-17 02:00:00
6987,6988,2013,12,17,3,205.0,175.0,106.0,90.9479,922.7220176689138,15.4224,-0.5,1027.4,-12.8,0.0,ENE,1.1,Dongsi,2013-12-17 03:00:00
6988,6989,2013,12,17,4,169.0,148.0,99.6744,82.9412,894.0870815630155,13.7088,-0.5,1027.6,-13.1,0.0,N,2.4,Dongsi,2013-12-17 04:00:00
6989,6990,2013,12,17,5,184.0,154.0,93.9624,82.5306,865.7687699359333,13.2804,-0.4,1027.7,-13.3,0.0,NNE,1.3,Dongsi,2013-12-17 05:00:00
6990,6991,2013,12,17,6,127.0,93.0,68.0,70.0,837.767082787667,10.9242,-0.3,1028.3,-14.7,0.0,NNE,1.4,Dongsi,2013-12-17 06:00:00
6991,6992,2013,12,17,7,96.0,64.0,52.0,64.0,810.0820201182171,10.0,-0.3,1028.8,-15.8,0.0,NE,2.3,Dongsi,2013-12-17 07:00:00
6992,6993,2013,12,17,8,46.0,15.0,30.0,50.0,782.7135819275834,10.9242,-0.2,1029.5,-16.6,0.0,NNE,2.0,Dongsi,2013-12-17 08:00:00
6993,6994,2013,12,17,9,46.0,15.0,18.0,38.0,755.6617682157657,21.0,0.4,1030.0,-16.5,0.0,NNE,1.5,Dongsi,2013-12-17 09:00:00
6994,6995,2013,12,17,10,15.0,22.0,12.0,32.0,728.9265789827643,30.0,0.5,1029.8,-16.4,0.0,ENE,2.5,Dongsi,2013-12-17 10:00:00
6995,6996,2013,12,17,11,27.0,21.0,11.0,33.0,702.5080142285792,32.3442,1.0,1029.3,-16.4,0.0,NE,1.8,Dongsi,2013-12-17 11:00:00
6996,6997,2013,12,17,12,28.0,17.0,12.0,30.0,676.4060739532104,38.9844,1.0,1028.4,-16.4,0.0,NE,1.6,Dongsi,2013-12-17 12:00:00
6997,6998,2013,12,17,13,28.0,19.0,15.0,29.0,650.6207581566573,40.698,1.0,1027.8,-16.9,0.0,ENE,2.2,Dongsi,2013-12-17 13:00:00
6998,6999,2013,12,17,14,28.0,20.0,16.0,30.0,625.1520668389205,38.7702,1.7,1027.7,-16.3,0.0,ENE,2.8,Dongsi,2013-12-17 14:00:00
6999,7000,2013,12,17,15,27.0,25.0,21.0,31.0,600.0,37.0566,1.5,1028.3,-16.4,0.0,ENE,2.2,Dongsi,2013-12-17 15:00:00
7000,7001,2013,12,17,16,27.0,28.0,21.0,35.0,575.1645576398955,33.4152,0.2,1029.1,-16.6,0.0,ENE,1.3,Dongsi,2013-12-17 16:00:00
7001,7002,2013,12,17,17,25.0,22.0,15.0,42.0,600.0,25.2756,-1.3,1029.9,-16.3,0.0,NE,0.7,Dongsi,2013-12-17 17:00:00
7002,7003,2013,12,17,18,22.0,21.0,16.0,51.0,700.0,14.0,-2.8,1030.7,-10.8,0.0,E,1.4,Dongsi,2013-12-17 18:00:00
7003,7004,2013,12,17,19,28.0,26.0,18.0,56.0,732.0010337096605,11.9952,-1.5,1031.4,-19.0,0.0,ENE,3.6,Dongsi,2013-12-17 19:00:00
7004,7005,2013,12,17,20,32.0,19.0,16.0,53.0,672.1425138072757,15.4224,-2.4,1032.2,-19.8,0.0,ENE,3.7,Dongsi,2013-12-17 20:00:00
7005,7006,2013,12,17,21,14.0,12.0,9.0,39.0,538.7680549957315,24.8472,-3.4,1032.7,-18.9,0.0,NE,2.1,Dongsi,2013-12-17 21:00:00
7006,7007,2013,12,17,22,14.0,32.0,7.0,29.0,441.9393454923443,34.7004,-4.3,1033.0,-19.7,0.0,NNE,3.5,Dongsi,2013-12-17 22:00:00
7007,7008,2013,12,17,23,12.0,23.0,8.0,26.0,400.0,37.9134,-5.0,1032.9,-19.9,0.0,NE,3.3,Dongsi,2013-12-17 23:00:00
7008,7009,2013,12,18,0,10.0,8.0,10.0,24.0,412.9500185186989,39.4128,-5.5,1032.6,-19.6,0.0,ENE,2.4,Dongsi,2013-12-18 00:00:00
7009,7010,2013,12,18,1,10.0,6.0,10.0,23.0,400.0,42.1974,-5.8,1032.6,-19.5,0.0,NE,2.5,Dongsi,2013-12-18 01:00:00
7010,7011,2013,12,18,2,12.0,6.0,12.0,23.0,300.0,41.769,-6.3,1032.5,-19.6,0.0,NNE,1.5,Dongsi,2013-12-18 02:00:00
7011,7012,2013,12,18,3,9.0,6.0,10.0,28.0,230.7867581459243,35.1288,-6.5,1032.0,-19.8,0.0,NE,2.3,Dongsi,2013-12-18 03:00:00
7012,7013,2013,12,18,4,14.0,6.0,14.0,28.0,211.99973104231034,31.4874,-7.0,1031.6,-19.6,0.0,NNE,1.4,Dongsi,2013-12-18 04:00:00
7013,7014,2013,12,18,5,9.0,6.0,10.0,28.0,262.2128384175413,34.9146,-7.2,1031.5,-19.8,0.0,NNE,1.0,Dongsi,2013-12-18 05:00:00
7014,7015,2013,12,18,6,14.0,6.0,19.0,37.0,400.0,24.8472,-7.9,1031.1,-19.2,0.0,E,1.8,Dongsi,2013-12-18 06:00:00
7015,7016,2013,12,18,7,18.0,13.0,23.0,40.0,600.0,20.9916,-5.4,1031.1,-19.9,0.0,NNW,3.4,Dongsi,2013-12-18 07:00:00
7016,7017,2013,12,18,8,19.0,18.0,26.0,37.0,710.045543679423,27.846,-4.1,1030.9,-19.5,0.0,NNW,2.1,Dongsi,2013-12-18 08:00:00
7017,7018,2013,12,18,9,13.0,18.0,24.0,32.0,700.0,35.1288,-3.3,1030.8,-19.7,0.0,NNW,3.9,Dongsi,2013-12-18 09:00:00
7018,7019,2013,12,18,10,13.0,18.0,24.0,32.0,600.0,45.8388,-1.9,1029.7,-18.9,0.0,NW,2.6,Dongsi,2013-12-18 10:00:00
7019,7020,2013,12,18,11,20.0,19.0,20.0,22.0,600.0,48.6234,-0.6,1028.1,-19.2,0.0,NW,2.2,Dongsi,2013-12-18 11:00:00
7020,7021,2013,12,18,12,15.0,11.0,15.0,21.0,617.8051178836504,49.9086,-0.1,1026.6,-19.9,0.0,NW,2.1,Dongsi,2013-12-18 12:00:00
7021,7022,2013,12,18,13,17.0,8.0,12.0,21.0,633.8975322504174,49.9086,0.9,1025.5,-20.2,0.0,W,1.7,Dongsi,2013-12-18 13:00:00
7022,7023,2013,12,18,14,26.0,36.0,18.0,31.0,648.2772431003013,45.4104,0.7,1025.2,-17.6,0.0,SW,2.4,Dongsi,2013-12-18 14:00:00
7023,7024,2013,12,18,15,63.0,36.0,26.0,46.0,660.9442504333022,34.7004,-0.4,1024.9,-16.7,0.0,SW,3.6,Dongsi,2013-12-18 15:00:00
7024,7025,2013,12,18,16,62.0,62.0,26.0,45.0,671.8985542494195,33.4152,-1.7,1024.8,-15.9,0.0,SW,1.7,Dongsi,2013-12-18 16:00:00
7025,7026,2013,12,18,17,76.0,92.0,22.0,52.0,681.1401545486539,22.7052,-2.4,1024.9,-15.1,0.0,WSW,1.8,Dongsi,2013-12-18 17:00:00
7026,7027,2013,12,18,18,90.0,94.0,24.0,57.0,688.6690513310048,11.5668,-3.6,1025.0,-14.7,0.0,WSW,1.0,Dongsi,2013-12-18 18:00:00
7027,7028,2013,12,18,19,92.0,96.0,27.0,57.0,694.4852445964724,11.1384,-4.9,1025.2,-14.2,0.0,SE,1.6,Dongsi,2013-12-18 19:00:00
7028,7029,2013,12,18,20,97.0,91.0,27.0,56.0,698.5887343450572,11.1384,-5.6,1025.7,-13.7,0.0,ENE,1.4,Dongsi,2013-12-18 20:00:00
7029,7030,2013,12,18,21,105.0,104.0,28.0,57.0,700.9795205767584,11.9952,-5.4,1026.0,-13.0,0.0,ENE,1.4,Dongsi,2013-12-18 21:00:00
7030,7031,2013,12,18,22,106.0,109.0,37.0,69.0,701.6576032915766,12.2094,-7.2,1026.3,-13.9,0.0,NNE,0.5,Dongsi,2013-12-18 22:00:00
7031,7032,2013,12,18,23,145.0,156.0,53.0,78.0,701.4818413238893,15.2082,-7.5,1026.3,-14.8,0.0,E,0.7,Dongsi,2013-12-18 23:00:00
7032,7033,2013,12,19,0,108.0,82.0,37.9848,62.2059,701.3110935080745,13.0662,-6.0,1026.4,-16.3,0.0,ENE,1.0,Dongsi,2013-12-19 00:00:00
7033,7034,2013,12,19,1,57.0,39.0,31.7016,57.2787,701.1453598441319,11.3526,-6.0,1026.5,-17.4,0.0,NNE,1.3,Dongsi,2013-12-19 01:00:00
7034,7035,2013,12,19,2,57.0,3.0,11.7096,34.6957,700.9846403320621,17.7786,-6.1,1026.6,-17.5,0.0,NNE,1.7,Dongsi,2013-12-19 02:00:00
7035,7036,2013,12,19,3,13.0,6.0,9.996,30.795,700.8289349718646,18.8496,-6.1,1026.3,-18.1,0.0,NNE,1.3,Dongsi,2013-12-19 03:00:00
7036,7037,2013,12,19,4,13.0,13.0,10.2816,29.95967738019685,700.6782437635394,27.4176,-6.5,1026.4,-18.2,0.0,NNE,1.5,Dongsi,2013-12-19 04:00:00
